sample.ID	sample.PI	plant.compartment	treatment	plant.specie	Site
LP1_bins	At.rzs	root.zone.soil	mock	Agave.tequilana	Penjamo
LP2_bins	At.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP3_bins	At.W.rz	rhizosphere	mock	Agave.tequilana	Penjamo
LP4_bins	At.Ev.e	phyllosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP5_bins	At.W.e	phyllosphere	mock	Agave.tequilana	Penjamo
LP6_bins	Ak.rzs	root.zone.soil	mock	Agave.karwinskii	Oaxaca
LP7_bins	Ak.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP8_bins	Ak.W.rz	rhizosphere	mock	Agave.karwinskii	Oaxaca
LP9_bins	Ak.Ev.e	phyllosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP11_bins	Aa.rzs	root.zone.soil	mock	Agave.angustifolia	Oaxaca
LP12_bins	Aa.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP13_bins	Aa.W.rz	rhizosphere	mock	Agave.angustifolia	Oaxaca
LP14_bins	Aa.Ev.e	phyllosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP15_bins	Aa.W.e	phyllosphere	mock	Agave.angustifolia	Oaxaca
LP16_bins	Ac.rzs	root.zone.soil	mock	Agave.convallis	Oaxaca
LP17_bins	Ac.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP18_bins	Ac.W.rz	rhizosphere	mock	Agave.convallis	Oaxaca
LP19_bins	Ac.Ev.e	phyllosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP20_bins	Ac.W.e	phyllosphere	mock	Agave.convallis	Oaxaca
LP21_bins	Ap.rzs	root.zone.soil	mock	Agave.potatorum	Oaxaca
LP22_bins	Ap.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.potatorum	Oaxaca
LP23_bins	Ap.W.rz	rhizosphere	mock	Agave.potatorum	Oaxaca
LP25_bins	Ap.W.e	phyllosphere	mock	Agave.potatorum	Oaxaca
