sample.ID	sample.PI	plant.compartment	treatment	plant.specie	Site
LP1_contigs	At.rzs	root.zone.soil	mock	Agave.tequilana	Penjamo
LP2_contigs	At.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP3_contigs	At.W.rz	rhizosphere	mock	Agave.tequilana	Penjamo
LP4_contigs	At.Ev.e	phyllosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP5_contigs	At.W.e	phyllosphere	mock	Agave.tequilana	Penjamo
LP6_contigs	Ak.rzs	root.zone.soil	mock	Agave.karwinskii	Oaxaca
LP7_contigs	Ak.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP8_contigs	Ak.W.rz	rhizosphere	mock	Agave.karwinskii	Oaxaca
LP9_contigs	Ak.Ev.e	phyllosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP10_contigs	Ak.W.e	phyllosphere	mock	Agave.karwinskii	Oaxaca
LP11_contigs	Aa.rzs	root.zone.soil	mock	Agave.angustifolia	Oaxaca
LP12_contigs	Aa.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP13_contigs	Aa.W.rz	rhizosphere	mock	Agave.angustifolia	Oaxaca
LP14_contigs	Aa.Ev.e	phyllosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP15_contigs	Aa.W.e	phyllosphere	mock	Agave.angustifolia	Oaxaca
LP16_contigs	Ac.rzs	root.zone.soil	mock	Agave.convallis	Oaxaca
LP17_contigs	Ac.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP18_contigs	Ac.W.rz	rhizosphere	mock	Agave.convallis	Oaxaca
LP19_contigs	Ac.Ev.e	phyllosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP20_contigs	Ac.W.e	phyllosphere	mock	Agave.convallis	Oaxaca
LP21_contigs	Ap.rzs	root.zone.soil	mock	Agave.potatorum	Oaxaca
LP22_contigs	Ap.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.potatorum	Oaxaca
LP23_contigs	Ap.W.rz	rhizosphere	mock	Agave.potatorum	Oaxaca
LP24_contigs	Ap.Ev.e	phyllosphere	ethyl.isovalerate	Agave.potatorum	Oaxaca
LP25_contigs	Ap.W.e	phyllosphere	mock	Agave.potatorum	Oaxaca
