sample.ID	sample.PI	plant.compartment	treatment	plant.specie	Site
LP1_reads	At.rzs	root.zone.soil	mock	Agave.tequilana	Penjamo
LP2_reads	At.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP3_reads	At.W.rz	rhizosphere	mock	Agave.tequilana	Penjamo
LP4_reads	At.Ev.e	phyllosphere	ethyl.isovalerate	Agave.tequilana	Penjamo
LP5_reads	At.W.e	phyllosphere	mock	Agave.tequilana	Penjamo
LP6_reads	Ak.rzs	root.zone.soil	mock	Agave.karwinskii	Oaxaca
LP7_reads	Ak.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP8_reads	Ak.W.rz	rhizosphere	mock	Agave.karwinskii	Oaxaca
LP9_reads	Ak.Ev.e	phyllosphere	ethyl.isovalerate	Agave.karwinskii	Oaxaca
LP10_reads	Ak.W.e	phyllosphere	mock	Agave.karwinskii	Oaxaca
LP11_reads	Aa.rzs	root.zone.soil	mock	Agave.angustifolia	Oaxaca
LP12_reads	Aa.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP13_reads	Aa.W.rz	rhizosphere	mock	Agave.angustifolia	Oaxaca
LP14_reads	Aa.Ev.e	phyllosphere	ethyl.isovalerate	Agave.angustifolia	Oaxaca
LP15_reads	Aa.W.e	phyllosphere	mock	Agave.angustifolia	Oaxaca
LP16_reads	Ac.rzs	root.zone.soil	mock	Agave.convallis	Oaxaca
LP17_reads	Ac.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP18_reads	Ac.W.rz	rhizosphere	mock	Agave.convallis	Oaxaca
LP19_reads	Ac.Ev.e	phyllosphere	ethyl.isovalerate	Agave.convallis	Oaxaca
LP20_reads	Ac.W.e	phyllosphere	mock	Agave.convallis	Oaxaca
LP21_reads	Ap.rzs	root.zone.soil	mock	Agave.potatorum	Oaxaca
LP22_reads	Ap.Ev.rz	rhizosphere	ethyl.isovalerate	Agave.potatorum	Oaxaca
LP23_reads	Ap.W.rz	rhizosphere	mock	Agave.potatorum	Oaxaca
LP24_reads	Ap.Ev.e	phyllosphere	ethyl.isovalerate	Agave.potatorum	Oaxaca
LP25_reads	Ap.W.e	phyllosphere	mock	Agave.potatorum	Oaxaca
