Reference	Position	Depth
Kellermania_agaves_1	1	0
Kellermania_agaves_1	2	0
Kellermania_agaves_1	3	0
Kellermania_agaves_1	4	0
Kellermania_agaves_1	5	0
Kellermania_agaves_1	6	0
Kellermania_agaves_1	7	0
Kellermania_agaves_1	8	0
Kellermania_agaves_1	9	1
Kellermania_agaves_1	10	1
Kellermania_agaves_1	11	1
Kellermania_agaves_1	12	1
Kellermania_agaves_1	13	1
Kellermania_agaves_1	14	1
Kellermania_agaves_1	15	1
Kellermania_agaves_1	16	1
Kellermania_agaves_1	17	1
Kellermania_agaves_1	18	1
Kellermania_agaves_1	19	1
Kellermania_agaves_1	20	1
Kellermania_agaves_1	21	1
Kellermania_agaves_1	22	1
Kellermania_agaves_1	23	1
Kellermania_agaves_1	24	1
Kellermania_agaves_1	25	1
Kellermania_agaves_1	26	1
Kellermania_agaves_1	27	1
Kellermania_agaves_1	28	1
Kellermania_agaves_1	29	1
Kellermania_agaves_1	30	1
Kellermania_agaves_1	31	1
Kellermania_agaves_1	32	1
Kellermania_agaves_1	33	1
Kellermania_agaves_1	34	1
Kellermania_agaves_1	35	1
Kellermania_agaves_1	36	1
Kellermania_agaves_1	37	1
Kellermania_agaves_1	38	1
Kellermania_agaves_1	39	1
Kellermania_agaves_1	40	1
Kellermania_agaves_1	41	1
Kellermania_agaves_1	42	1
Kellermania_agaves_1	43	1
Kellermania_agaves_1	44	0
Kellermania_agaves_1	45	0
Kellermania_agaves_1	46	0
Kellermania_agaves_1	47	0
Kellermania_agaves_1	48	0
Kellermania_agaves_1	49	0
Kellermania_agaves_1	50	0
Kellermania_agaves_1	51	0
Kellermania_agaves_1	52	0
Kellermania_agaves_1	53	0
Kellermania_agaves_1	54	0
Kellermania_agaves_1	55	0
Kellermania_agaves_1	56	0
Kellermania_agaves_1	57	0
Kellermania_agaves_1	58	0
Kellermania_agaves_1	59	0
Kellermania_agaves_1	60	0
Kellermania_agaves_1	61	0
Kellermania_agaves_1	62	0
Kellermania_agaves_1	63	0
Kellermania_agaves_1	64	0
Kellermania_agaves_1	65	0
Kellermania_agaves_1	66	0
Kellermania_agaves_1	67	0
Kellermania_agaves_1	68	0
Kellermania_agaves_1	69	0
Kellermania_agaves_1	70	0
Kellermania_agaves_1	71	0
Kellermania_agaves_1	72	0
Kellermania_agaves_1	73	0
Kellermania_agaves_1	74	0
Kellermania_agaves_1	75	0
Kellermania_agaves_1	76	0
Kellermania_agaves_1	77	0
Kellermania_agaves_1	78	0
Kellermania_agaves_1	79	0
Kellermania_agaves_1	80	0
Kellermania_agaves_1	81	0
Kellermania_agaves_1	82	0
Kellermania_agaves_1	83	0
Kellermania_agaves_1	84	0
Kellermania_agaves_1	85	0
Kellermania_agaves_1	86	0
Kellermania_agaves_1	87	0
Kellermania_agaves_1	88	0
Kellermania_agaves_1	89	0
Kellermania_agaves_1	90	0
Kellermania_agaves_1	91	0
Kellermania_agaves_1	92	0
Kellermania_agaves_1	93	0
Kellermania_agaves_1	94	0
Kellermania_agaves_1	95	0
Kellermania_agaves_1	96	0
Kellermania_agaves_1	97	0
Kellermania_agaves_1	98	0
Kellermania_agaves_1	99	0
Kellermania_agaves_1	100	0
Kellermania_agaves_1	101	0
Kellermania_agaves_1	102	0
Kellermania_agaves_1	103	0
Kellermania_agaves_1	104	0
Kellermania_agaves_1	105	0
Kellermania_agaves_1	106	0
Kellermania_agaves_1	107	0
Kellermania_agaves_1	108	0
Kellermania_agaves_1	109	0
Kellermania_agaves_1	110	0
Kellermania_agaves_1	111	0
Kellermania_agaves_1	112	0
Kellermania_agaves_1	113	0
Kellermania_agaves_1	114	0
Kellermania_agaves_1	115	0
Kellermania_agaves_1	116	0
Kellermania_agaves_1	117	0
Kellermania_agaves_1	118	0
Kellermania_agaves_1	119	0
Kellermania_agaves_1	120	0
Kellermania_agaves_1	121	0
Kellermania_agaves_1	122	0
Kellermania_agaves_1	123	0
Kellermania_agaves_1	124	0
Kellermania_agaves_1	125	0
Kellermania_agaves_1	126	0
Kellermania_agaves_1	127	0
Kellermania_agaves_1	128	0
Kellermania_agaves_1	129	0
Kellermania_agaves_1	130	0
Kellermania_agaves_1	131	0
Kellermania_agaves_1	132	0
Kellermania_agaves_1	133	0
Kellermania_agaves_1	134	0
Kellermania_agaves_1	135	0
Kellermania_agaves_1	136	0
Kellermania_agaves_1	137	0
Kellermania_agaves_1	138	0
Kellermania_agaves_1	139	0
Kellermania_agaves_1	140	0
Kellermania_agaves_1	141	0
Kellermania_agaves_1	142	0
Kellermania_agaves_1	143	0
Kellermania_agaves_1	144	0
Kellermania_agaves_1	145	0
Kellermania_agaves_1	146	0
Kellermania_agaves_1	147	0
Kellermania_agaves_1	148	0
Kellermania_agaves_1	149	0
Kellermania_agaves_1	150	0
Kellermania_agaves_1	151	0
Kellermania_agaves_1	152	0
Kellermania_agaves_1	153	0
Kellermania_agaves_1	154	0
Kellermania_agaves_1	155	0
Kellermania_agaves_1	156	0
Kellermania_agaves_1	157	0
Kellermania_agaves_1	158	0
Kellermania_agaves_1	159	0
Kellermania_agaves_1	160	0
Kellermania_agaves_1	161	0
Kellermania_agaves_1	162	0
Kellermania_agaves_1	163	0
Kellermania_agaves_1	164	0
Kellermania_agaves_1	165	0
Kellermania_agaves_1	166	0
Kellermania_agaves_1	167	0
Kellermania_agaves_1	168	0
Kellermania_agaves_1	169	0
Kellermania_agaves_1	170	0
Kellermania_agaves_1	171	0
Kellermania_agaves_1	172	0
Kellermania_agaves_1	173	0
Kellermania_agaves_1	174	0
Kellermania_agaves_1	175	0
Kellermania_agaves_1	176	0
Kellermania_agaves_1	177	0
Kellermania_agaves_1	178	0
Kellermania_agaves_1	179	0
Kellermania_agaves_1	180	0
Kellermania_agaves_1	181	0
Kellermania_agaves_1	182	0
Kellermania_agaves_1	183	0
Kellermania_agaves_1	184	0
Kellermania_agaves_1	185	0
Kellermania_agaves_1	186	0
Kellermania_agaves_1	187	0
Kellermania_agaves_1	188	0
Kellermania_agaves_1	189	0
Kellermania_agaves_1	190	0
Kellermania_agaves_1	191	0
Kellermania_agaves_1	192	0
Kellermania_agaves_1	193	0
Kellermania_agaves_1	194	0
Kellermania_agaves_1	195	0
Kellermania_agaves_1	196	0
Kellermania_agaves_1	197	0
Kellermania_agaves_1	198	0
Kellermania_agaves_1	199	0
Kellermania_agaves_1	200	0
Kellermania_agaves_1	201	0
Kellermania_agaves_1	202	0
Kellermania_agaves_1	203	0
Kellermania_agaves_1	204	0
Kellermania_agaves_1	205	0
Kellermania_agaves_1	206	0
Kellermania_agaves_1	207	0
Kellermania_agaves_1	208	0
Kellermania_agaves_1	209	0
Kellermania_agaves_1	210	0
Kellermania_agaves_1	211	0
Kellermania_agaves_1	212	0
Kellermania_agaves_1	213	0
Kellermania_agaves_1	214	0
Kellermania_agaves_1	215	0
Kellermania_agaves_1	216	0
Kellermania_agaves_1	217	0
Kellermania_agaves_1	218	0
Kellermania_agaves_1	219	0
Kellermania_agaves_1	220	0
Kellermania_agaves_1	221	0
Kellermania_agaves_1	222	0
Kellermania_agaves_1	223	0
Kellermania_agaves_1	224	0
Kellermania_agaves_1	225	0
Kellermania_agaves_1	226	0
Kellermania_agaves_1	227	0
Kellermania_agaves_1	228	0
Kellermania_agaves_1	229	0
Kellermania_agaves_1	230	0
Kellermania_agaves_1	231	0
Kellermania_agaves_1	232	0
Kellermania_agaves_1	233	0
Kellermania_agaves_1	234	0
Kellermania_agaves_1	235	0
Kellermania_agaves_1	236	0
Kellermania_agaves_1	237	0
Kellermania_agaves_1	238	0
Kellermania_agaves_1	239	0
Kellermania_agaves_1	240	0
Kellermania_agaves_1	241	0
Kellermania_agaves_1	242	0
Kellermania_agaves_1	243	0
Kellermania_agaves_1	244	0
Kellermania_agaves_1	245	0
Kellermania_agaves_1	246	0
Kellermania_agaves_1	247	0
Kellermania_agaves_1	248	0
Kellermania_agaves_1	249	0
Kellermania_agaves_1	250	0
Kellermania_agaves_1	251	0
Kellermania_agaves_1	252	0
Kellermania_agaves_1	253	0
Kellermania_agaves_1	254	0
Kellermania_agaves_1	255	0
Kellermania_agaves_1	256	0
Kellermania_agaves_1	257	0
Kellermania_agaves_1	258	0
Kellermania_agaves_1	259	0
Kellermania_agaves_1	260	0
Kellermania_agaves_1	261	0
Kellermania_agaves_1	262	0
Kellermania_agaves_1	263	0
Kellermania_agaves_1	264	0
Kellermania_agaves_1	265	0
Kellermania_agaves_1	266	0
Kellermania_agaves_1	267	0
Kellermania_agaves_1	268	0
Kellermania_agaves_1	269	0
Kellermania_agaves_1	270	0
Kellermania_agaves_1	271	0
Kellermania_agaves_1	272	0
Kellermania_agaves_1	273	0
Kellermania_agaves_1	274	0
Kellermania_agaves_1	275	0
Kellermania_agaves_1	276	0
Kellermania_agaves_1	277	0
Kellermania_agaves_1	278	0
Kellermania_agaves_1	279	0
Kellermania_agaves_1	280	0
Kellermania_agaves_1	281	0
Kellermania_agaves_1	282	0
Kellermania_agaves_1	283	0
Kellermania_agaves_1	284	0
Kellermania_agaves_1	285	0
Kellermania_agaves_1	286	0
Kellermania_agaves_1	287	0
Kellermania_agaves_1	288	0
Kellermania_agaves_1	289	0
Kellermania_agaves_1	290	0
Kellermania_agaves_1	291	0
Kellermania_agaves_1	292	0
Kellermania_agaves_1	293	0
Kellermania_agaves_1	294	0
Kellermania_agaves_1	295	0
Kellermania_agaves_1	296	0
Kellermania_agaves_1	297	0
Kellermania_agaves_1	298	0
Kellermania_agaves_1	299	0
Kellermania_agaves_1	300	0
Kellermania_agaves_1	301	0
Kellermania_agaves_1	302	0
Kellermania_agaves_1	303	0
Kellermania_agaves_1	304	0
Kellermania_agaves_1	305	0
Kellermania_agaves_1	306	0
Kellermania_agaves_1	307	0
Kellermania_agaves_1	308	0
Kellermania_agaves_1	309	0
Kellermania_agaves_1	310	0
Kellermania_agaves_1	311	0
Kellermania_agaves_1	312	0
Kellermania_agaves_1	313	0
Kellermania_agaves_1	314	0
Kellermania_agaves_1	315	0
Kellermania_agaves_1	316	0
Kellermania_agaves_1	317	0
Kellermania_agaves_1	318	0
Kellermania_agaves_1	319	0
Kellermania_agaves_1	320	0
Kellermania_agaves_1	321	0
Kellermania_agaves_1	322	0
Kellermania_agaves_1	323	0
Kellermania_agaves_1	324	0
Kellermania_agaves_1	325	0
Kellermania_agaves_1	326	0
Kellermania_agaves_1	327	0
